areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2021-04-28,2499,4499929,2415,4483624,84,16305
overview,United Kingdom,K02000001,2021-04-27,2177,4497430,2105,4481209,72,16221
overview,United Kingdom,K02000001,2021-04-26,2627,4495253,2512,4479104,115,16149
overview,United Kingdom,K02000001,2021-04-25,2119,4492626,2046,4476592,73,16034
overview,United Kingdom,K02000001,2021-04-24,1564,4490507,1514,4474546,50,15961
overview,United Kingdom,K02000001,2021-04-23,2020,4488943,1931,4473032,89,15911
overview,United Kingdom,K02000001,2021-04-22,2409,4486923,2300,4471101,109,15822
overview,United Kingdom,K02000001,2021-04-21,2709,4484514,2614,4468801,95,15713
overview,United Kingdom,K02000001,2021-04-20,2541,4481805,2417,4466187,124,15618
overview,United Kingdom,K02000001,2021-04-19,2738,4479264,2633,4463770,105,15494
overview,United Kingdom,K02000001,2021-04-18,2584,4476526,2510,4461137,74,15389
overview,United Kingdom,K02000001,2021-04-17,1722,4473942,1678,4458627,44,15315
overview,United Kingdom,K02000001,2021-04-16,2347,4472220,2275,4456949,72,15271
overview,United Kingdom,K02000001,2021-04-15,2345,4469873,2260,4454674,85,15199
overview,United Kingdom,K02000001,2021-04-14,2512,4467528,2433,4452414,79,15114
overview,United Kingdom,K02000001,2021-04-13,2495,4465016,2402,4449981,93,15035
overview,United Kingdom,K02000001,2021-04-12,2880,4462521,2785,4447579,95,14942
overview,United Kingdom,K02000001,2021-04-11,2376,4459641,2334,4444794,42,14847
overview,United Kingdom,K02000001,2021-04-10,2380,4457265,2333,4442460,47,14805
overview,United Kingdom,K02000001,2021-04-09,2952,4454885,2876,4440127,76,14758
overview,United Kingdom,K02000001,2021-04-08,3147,4451933,3057,4437251,90,14682
overview,United Kingdom,K02000001,2021-04-07,3253,4448786,3170,4434194,83,14592
overview,United Kingdom,K02000001,2021-04-06,3312,4445533,3221,4431024,91,14509
overview,United Kingdom,K02000001,2021-04-05,2744,4442221,2681,4427803,63,14418
overview,United Kingdom,K02000001,2021-04-04,2413,4439477,2367,4425122,46,14355
overview,United Kingdom,K02000001,2021-04-03,2506,4437064,2478,4422755,28,14309
